Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
195,4,Sep 18 2021,7:00 PM,Sat,(2) Georgia,40,,South Carolina,13,
196,4,Sep 18 2021,7:00 PM,Sat,Georgia State,20,,Charlotte,9,
197,4,Sep 18 2021,7:00 PM,Sat,Houston,45,,Grambling State,0,
198,4,Sep 18 2021,7:00 PM,Sat,Incarnate Word,42,@,Texas State,34,
199,4,Sep 18 2021,3:30 PM,Sat,(5) Iowa,30,,Kent State,7,
200,4,Sep 18 2021,10:30 PM,Sat,(14) Iowa State,48,@,Nevada-Las Vegas,3,
201,4,Sep 18 2021,2:00 PM,Sat,Kansas State,38,,Nevada,17,
202,4,Sep 18 2021,12:00 PM,Sat,Kentucky,28,,Chattanooga,23,
203,4,Sep 18 2021,6:00 PM,Sat,Liberty,45,,Old Dominion,17,
204,4,Sep 18 2021,7:30 PM,Sat,Louisiana State,49,,Central Michigan,21,
205,4,Sep 18 2021,8:00 PM,Sat,Louisiana-Monroe,12,,Jackson State,7,
206,4,Sep 18 2021,4:00 PM,Sat,Memphis,31,,Mississippi State,29,
207,4,Sep 18 2021,3:30 PM,Sat,Miami (OH),42,,Long Island,7,
208,4,Sep 18 2021,12:00 PM,Sat,(25) Michigan,63,,Northern Illinois,10,
209,4,Sep 18 2021,12:00 PM,Sat,Michigan State,38,@,(24) Miami (FL),17,
210,4,Sep 18 2021,1:00 PM,Sat,Minnesota,30,@,Colorado,0,
211,4,Sep 18 2021,8:00 PM,Sat,(17) Mississippi,61,,Tulane,21,
212,4,Sep 18 2021,12:00 PM,Sat,Missouri,59,,Southeast Missouri State,28,
213,4,Sep 18 2021,8:00 PM,Sat,New Mexico State,43,,South Carolina State,35,
214,4,Sep 18 2021,7:30 PM,Sat,(21) North Carolina,59,,Virginia,39,
215,4,Sep 18 2021,7:30 PM,Sat,North Carolina State,45,,Furman,7,
216,4,Sep 18 2021,10:00 PM,Sat,Northern Arizona,21,@,Arizona,19,
217,4,Sep 18 2021,2:30 PM,Sat,(12) Notre Dame,27,,Purdue,13,
218,4,Sep 18 2021,3:30 PM,Sat,(9) Ohio State,41,,Tulsa,20,
219,4,Sep 18 2021,12:00 PM,Sat,(3) Oklahoma,23,,Nebraska,16,
220,4,Sep 18 2021,9:00 PM,Sat,Oklahoma State,21,@,Boise State,20,
221,4,Sep 18 2021,7:30 PM,Sat,(4) Oregon,48,,Stony Brook,7,
222,4,Sep 18 2021,3:30 PM,Sat,Oregon State,42,,Idaho,0,
223,4,Sep 18 2021,7:30 PM,Sat,(10) Penn State,28,,(22) Auburn,20,
224,4,Sep 18 2021,3:30 PM,Sat,Rutgers,45,,Delaware,13,
225,4,Sep 18 2021,7:00 PM,Sat,San Diego State,33,,Utah,31,
226,4,Sep 18 2021,8:00 PM,Sat,South Alabama,28,,Alcorn State,21,
227,4,Sep 18 2021,7:00 PM,Sat,South Florida,38,,Florida A&M,17,
228,4,Sep 18 2021,3:30 PM,Sat,Southern California,45,@,Washington State,14,
229,4,Sep 18 2021,3:30 PM,Sat,Southern Methodist,39,@,Louisiana Tech,37,
230,4,Sep 18 2021,8:00 PM,Sat,Stanford,41,@,Vanderbilt,23,
231,4,Sep 18 2021,12:00 PM,Sat,Syracuse,62,,Albany,24,
232,4,Sep 18 2021,12:00 PM,Sat,Tennessee,56,,Tennessee Tech,0,
233,4,Sep 18 2021,8:00 PM,Sat,Texas,58,,Rice,0,
234,4,Sep 18 2021,12:00 PM,Sat,(7) Texas A&M,34,,New Mexico,0,
235,4,Sep 18 2021,7:00 PM,Sat,Texas Tech,54,,Florida International,21,
236,4,Sep 18 2021,6:00 PM,Sat,Texas-San Antonio,27,,Middle Tennessee State,13,
237,4,Sep 18 2021,7:00 PM,Sat,Troy,21,@,Southern Mississippi,9,
238,4,Sep 18 2021,7:30 PM,Sat,Utah State,49,@,Air Force,45,
239,4,Sep 18 2021,3:30 PM,Sat,Wake Forest,35,,Florida State,14,
240,4,Sep 18 2021,4:15 PM,Sat,Washington,52,,Arkansas State,3,
241,4,Sep 18 2021,12:00 PM,Sat,West Virginia,27,,(15) Virginia Tech,21,
242,4,Sep 18 2021,12:00 PM,Sat,Western Michigan,44,@,Pittsburgh,41,
243,4,Sep 18 2021,4:00 PM,Sat,Wyoming,45,,Ball State,12,
244,4,Sep 19 2021,12:30 AM,Sun,San Jose State,17,@,Hawaii,13,
