,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
116,Arkansas,SEC (West),3,0,1.000,0,0,,41.0,16.0,13.98,-7.35,16,,16,
117,Ole Miss,SEC (West),3,0,1.000,0,0,,52.7,20.7,21.10,-1.23,13,,13,
118,Texas A&M,SEC (West),3,0,1.000,0,0,,28.3,5.7,16.75,-1.59,7,6,5,
119,Auburn,SEC (West),2,1,.667,0,0,,47.3,12.7,11.53,-1.81,23,,22,
120,Mississippi State,SEC (West),2,1,.667,0,0,,29.3,25.0,10.41,5.75,,,,
121,Coastal Carolina,Sun Belt (East),3,0,1.000,0,0,,43.0,20.3,7.84,-10.49,17,22,16,
122,Appalachian State,Sun Belt (East),3,1,.750,0,0,,32.8,21.0,6.44,-3.06,,,,
123,Troy,Sun Belt (East),2,1,.667,0,0,,29.7,11.0,7.45,-1.89,,,,
124,Georgia Southern,Sun Belt (East),1,2,.333,0,0,,15.3,36.0,-11.95,1.72,,,,
125,Georgia State,Sun Belt (East),1,2,.333,0,0,,15.7,37.0,3.01,15.34,,,,
126,South Alabama,Sun Belt (West),3,0,1.000,0,0,,27.0,15.7,4.31,-8.36,,,,
127,Louisiana,Sun Belt (West),2,1,.667,0,0,,31.3,25.3,-7.50,-11.16,,23,23,
128,Louisiana-Monroe,Sun Belt (West),1,1,.500,0,0,,11.0,26.0,-13.97,-5.47,,,,
129,Arkansas State,Sun Belt (West),1,2,.333,0,0,,31.0,42.7,-5.58,-1.58,,,,
130,Texas State,Sun Belt (West),1,2,.333,0,0,,25.7,29.3,-8.67,-5.34,,,,
