,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
87,Tennessee,SEC (East),,4,8,-4.83,1.66,-3.18,36.07,13.41,8.38,4.94,4.61,4.19,6.31,4.36
88,North Texas,CUSA (West),,9,5,6.44,-10.04,-3.60,46.48,24.56,8.88,7.12,4.98,3.85,7.04,5.12
89,Eastern Michigan,MAC (West),,5,7,-3.63,-0.47,-4.09,36.10,12.30,8.04,6.38,4.07,3.45,6.18,4.55
90,Air Force,MWC (Mountain),,5,7,2.55,-7.32,-4.77,45.12,20.32,10.31,7.48,5.66,4.84,6.54,5.80
91,Akron,MAC (East),,7,7,-6.82,2.00,-4.82,33.37,14.71,7.58,5.97,3.70,4.31,5.71,4.95
92,Central Michigan,MAC (West),,8,5,-0.61,-4.42,-5.03,39.27,17.67,8.03,5.44,4.50,3.89,6.43,4.45
93,Southern Mississippi,CUSA (West),,8,5,-3.10,-2.38,-5.49,38.12,17.03,7.94,6.01,5.26,3.21,6.67,4.35
94,UTSA,CUSA (West),,6,5,-8.71,2.92,-5.78,30.39,10.56,7.77,6.23,5.06,3.52,6.32,4.46
95,Miami (OH),MAC (East),,5,7,-4.57,-1.47,-6.04,34.03,15.27,8.24,6.09,4.53,4.07,6.38,4.83
96,Baylor,Big 12,,1,11,-0.59,-5.88,-6.47,41.54,18.30,8.88,6.46,4.61,4.12,6.94,5.01
97,Middle Tennessee State,CUSA (East),,7,6,-4.64,-1.84,-6.48,34.83,15.94,7.95,6.17,4.73,3.17,6.54,4.34
98,Florida International,CUSA (East),,8,5,-2.84,-3.90,-6.75,35.42,20.21,8.39,6.78,4.78,4.22,6.53,5.26
99,Tulsa,American (West),,2,10,0.22,-7.68,-7.46,40.88,22.20,7.92,8.20,5.76,4.85,6.52,6.09
100,Illinois,Big Ten (West),,2,10,-6.84,-1.03,-7.87,33.66,15.01,7.94,5.86,4.50,4.03,6.16,4.57
101,Nevada-Las Vegas,MWC (West),,5,7,0.94,-8.86,-7.92,39.98,22.33,8.40,6.67,6.28,4.58,7.20,5.39
102,BYU,Ind,,4,9,-9.89,1.83,-8.06,29.23,12.05,7.26,6.29,5.04,2.89,6.27,4.21
103,UAB,CUSA (West),,8,5,-3.08,-5.00,-8.08,34.75,19.56,7.38,6.01,4.99,4.11,6.12,4.84
104,New Mexico State,Sun Belt,,7,6,0.39,-9.07,-8.69,38.65,22.24,7.73,6.17,4.62,3.78,6.71,4.77
105,Nevada,MWC (West),,3,9,-1.58,-7.67,-9.25,39.72,21.10,8.23,7.43,4.84,3.62,6.78,5.00
106,Massachusetts,Ind,,4,8,1.75,-11.11,-9.36,40.93,24.18,8.82,6.28,4.47,4.22,6.85,5.07
107,Cincinnati,American (East),,4,8,-5.45,-4.14,-9.59,32.75,18.94,6.61,6.68,5.13,3.75,6.00,4.92
108,New Mexico,MWC (Mountain),,3,9,-7.64,-2.73,-10.38,32.32,18.99,7.17,6.53,5.94,3.84,6.47,5.13
109,Georgia State,Sun Belt,,7,5,-9.21,-1.46,-10.66,28.94,17.91,8.35,6.64,3.75,3.90,6.12,5.15
