Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
140,3,Sep 7 2019,,Sat,Oklahoma State,56,,McNeese State,14,Boone Pickens Stadium - Stillwater Oklahoma
141,3,Sep 7 2019,,Sat,(16) Oregon,77,,Nevada,6,Autzen Stadium - Eugene Oregon
142,3,Sep 7 2019,,Sat,(15) Penn State,45,,Buffalo,13,Beaver Stadium - University Park Pennsylvania
143,3,Sep 7 2019,,Sat,Pittsburgh,20,,Ohio,10,Heinz Field - Pittsburgh Pennsylvania
144,3,Sep 7 2019,,Sat,Purdue,42,,Vanderbilt,24,Ross-Ade Stadium - West Lafayette Indiana
145,3,Sep 7 2019,,Sat,San Diego State,23,@,UCLA,14,Rose Bowl - Pasadena California
146,3,Sep 7 2019,,Sat,South Alabama,37,,Jackson State,14,Ladd-Peebles Stadium - Mobile Alabama
147,3,Sep 7 2019,,Sat,South Carolina,72,,Charleston Southern,10,Williams-Brice Stadium - Columbia South Carolina
148,3,Sep 7 2019,,Sat,Southern California,45,,(23) Stanford,20,Los Angeles Memorial Coliseum - Los Angeles California
149,3,Sep 7 2019,,Sat,Southern Illinois,45,@,Massachusetts,20,Warren McGuirk Alumni Stadium - Amherst Massachusetts
150,3,Sep 7 2019,,Sat,Southern Methodist,49,,North Texas,27,Gerald J. Ford Stadium - Dallas Texas
151,3,Sep 7 2019,,Sat,Texas Tech,38,,Texas-El Paso,3,Jones AT&T Stadium - Lubbock Texas
152,3,Sep 7 2019,,Sat,Tulsa,34,@,San Jose State,16,CEFCU Stadium - San Jose California
153,3,Sep 7 2019,,Sat,(13) Utah,35,,Northern Illinois,17,Rice-Eccles Stadium - Salt Lake City Utah
154,3,Sep 7 2019,,Sat,Utah State,62,,Stony Brook,7,Merlin Olsen Field at Maverik Stadium - Logan Utah
155,3,Sep 7 2019,,Sat,Virginia Tech,31,,Old Dominion,17,Lane Stadium - Blacksburg Virginia
156,3,Sep 7 2019,,Sat,(22) Washington State,59,,Northern Colorado,17,Martin Stadium - Pullman Washington
157,3,Sep 7 2019,,Sat,Western Kentucky,20,@,Florida International,14,Riccardo Silva Stadium - Miami Florida
158,3,Sep 7 2019,,Sat,(17) Wisconsin,61,,Central Michigan,0,Camp Randall Stadium - Madison Wisconsin
159,3,Sep 7 2019,,Sat,Wyoming,23,@,Texas State,14,Bobcat Stadium - San Marcos Texas
160,4,Sep 13 2019,,Fri,Kansas,48,@,Boston College,24,Alumni Stadium - Chestnut Hill Massachusetts
161,4,Sep 13 2019,,Fri,Wake Forest,24,,North Carolina,18,BB&T Field - Winston-Salem North Carolina
162,4,Sep 13 2019,,Fri,(20) Washington State,31,N,Houston,24,NRG Stadium - Houston Texas
163,4,Sep 14 2019,,Sat,Air Force,30,@,Colorado,23,Folsom Field - Boulder Colorado
164,4,Sep 14 2019,,Sat,(2) Alabama,47,@,South Carolina,23,Williams-Brice Stadium - Columbia South Carolina
165,4,Sep 14 2019,,Sat,Arizona,28,,Texas Tech,14,Arizona Stadium - Tucson Arizona
166,4,Sep 14 2019,,Sat,Arizona State,10,@,(18) Michigan State,7,Spartan Stadium - East Lansing Michigan
167,4,Sep 14 2019,,Sat,Arkansas,55,,Colorado State,34,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
168,4,Sep 14 2019,,Sat,Army,31,@,Texas-San Antonio,13,Alamodome - San Antonio Texas
169,4,Sep 14 2019,,Sat,(8) Auburn,55,,Kent State,16,Jordan-Hare Stadium - Auburn Alabama
170,4,Sep 14 2019,,Sat,(22) Boise State,45,,Portland State,10,Albertsons Stadium - Boise Idaho
171,4,Sep 14 2019,,Sat,Brigham Young,30,,(24) Southern California,27,LaVell Edwards Stadium - Provo Utah
172,4,Sep 14 2019,,Sat,California,23,,North Texas,17,California Memorial Stadium - Berkeley California
173,4,Sep 14 2019,,Sat,(17) Central Florida,45,,Stanford,27,Spectrum Stadium - Orlando Florida
174,4,Sep 14 2019,,Sat,Central Michigan,45,,Akron,24,Kelly/Shorts Stadium - Mount Pleasant Michigan
175,4,Sep 14 2019,,Sat,Charlotte,52,,Massachusetts,17,Jerry Richardson Stadium - Charlotte North Carolina
176,4,Sep 14 2019,,Sat,Cincinnati,35,,Miami (OH),13,Nippert Stadium - Cincinnati Ohio
177,4,Sep 14 2019,,Sat,Citadel,27,@,Georgia Tech,24,Bobby Dodd Stadium - Atlanta Georgia
178,4,Sep 14 2019,,Sat,(1) Clemson,41,@,Syracuse,6,Carrier Dome - Syracuse New York
179,4,Sep 14 2019,,Sat,Coastal Carolina,46,,Norfolk State,7,Brooks Stadium - Conway South Carolina
180,4,Sep 14 2019,,Sat,Duke,41,@,Middle Tennessee State,18,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
181,4,Sep 14 2019,,Sat,Eastern Michigan,34,@,Illinois,31,Memorial Stadium - Champaign Illinois
182,4,Sep 14 2019,,Sat,(9) Florida,29,@,Kentucky,21,Kroger Field - Lexington Kentucky
183,4,Sep 14 2019,,Sat,Florida Atlantic,41,@,Ball State,31,Scheumann Stadium - Muncie Indiana
184,4,Sep 14 2019,,Sat,Florida International,30,,New Hampshire,17,Riccardo Silva Stadium - Miami Florida
185,4,Sep 14 2019,,Sat,(3) Georgia,55,,Arkansas State,0,Sanford Stadium - Athens Georgia
186,4,Sep 14 2019,,Sat,(19) Iowa,18,@,Iowa State,17,Jack Trice Stadium - Ames Iowa
187,4,Sep 14 2019,,Sat,Kansas State,31,@,Mississippi State,24,Davis Wade Stadium - Starkville Mississippi
188,4,Sep 14 2019,,Sat,Liberty,35,,Buffalo,17,Williams Stadium - Lynchburg Virginia
189,4,Sep 14 2019,,Sat,Louisiana,77,,Texas Southern,6,Cajun Field - Lafayette Louisiana
190,4,Sep 14 2019,,Sat,(4) Louisiana State,65,,Northwestern State,14,Tiger Stadium - Baton Rouge Louisiana
191,4,Sep 14 2019,,Sat,Louisiana Tech,35,@,Bowling Green State,7,Doyt Perry Stadium - Bowling Green Ohio
192,4,Sep 14 2019,,Sat,Louisville,38,N,Western Kentucky,21,Nissan Stadium - Nashville Tennessee
193,4,Sep 14 2019,,Sat,Marshall,33,,Ohio,31,Joan C. Edwards Stadium - Huntington West Virginia
194,4,Sep 14 2019,,Sat,Memphis,42,@,South Alabama,6,Ladd-Peebles Stadium - Mobile Alabama
195,4,Sep 14 2019,,Sat,Miami (FL),63,,Bethune-Cookman,0,Hard Rock Stadium - Miami Gardens Florida
196,4,Sep 14 2019,,Sat,Minnesota,35,,Georgia Southern,32,TCF Bank Stadium - Minneapolis Minnesota
197,4,Sep 14 2019,,Sat,Mississippi,40,,Southeastern Louisiana,29,Vaught-Hemingway Stadium - Oxford Mississippi
198,4,Sep 14 2019,,Sat,Missouri,50,,Southeast Missouri State,0,Memorial Stadium/Faurot Field - Columbia Missouri
199,4,Sep 14 2019,,Sat,Navy,42,,East Carolina,10,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
200,4,Sep 14 2019,,Sat,Nebraska,44,,Northern Illinois,8,Memorial Stadium - Lincoln Nebraska
